public_id,year,permit_number,permit_type
3141353,2020,216,Lobster - Resident
3141474,2020,10758,Food Fish/Crustacea Dealer/Shipper
3141474,2020,4084,Horseshoe Crab - Resident
3141474,2020,4084,Crab - Resident
3141474,2020,5601,Food Fish - Resident
3141594,2020,102537,Food Fish - NR
3141835,2020,2887,Food Fish - Resident
3141835,2020,5498,Food Fish - Resident
3141973,2020,474,Food Fish - Resident
3142193,2020,2052,Party/Charter Boat
3142193,2020,5582,Food Fish - Resident
3142233,2020,1364,Horseshoe Crab - NR
3142233,2020,1364,Crab - NR
3142313,2020,10751,Food Fish/Crustacea Dealer/Shipper
3142416,2020,1310,Marine Bait
3142515,2020,2173,Party/Charter Boat
3142515,2020,271,Gill Net - Resident
3142715,2020,10754,Food Fish/Crustacea Dealer/Shipper
3142735,2020,2056,Party/Charter Boat
3142755,2020,2057,Party/Charter Boat
3142856,2020,406,Scoop Dip Scap up to 10 ft sq
3142857,2020,5548,Food Fish - Resident
3142897,2020,2061,Party/Charter Boat
3142915,2020,10755,Food Fish/Crustacea Dealer/Shipper
3142997,2020,2528,Party/Charter Boat
3143097,2020,297,Gill Net - Resident
3143101,2020,2094,Party/Charter Boat
3143101,2020,4020,Horseshoe Crab - Resident
3143101,2020,4020,Crab - Resident
3143101,2020,5549,Food Fish - Resident
3143104,2020,10757,Food Fish/Crustacea Dealer/Shipper
3143239,2020,296,Gill Net - Resident
3143279,2020,1150,Marine Bait
3143355,2020,5615,Food Fish - Resident
3143398,2020,4062,Horseshoe Crab - Resident
3143398,2020,4062,Crab - Resident
3143398,2020,5561,Food Fish - Resident
3143402,2020,10761,Food Fish/Crustacea Dealer/Shipper
3143416,2020,2064,Food Fish - Resident
3143416,2020,282,Lobster - Resident
3143416,2020,942,Crab - Resident
3143422,2020,2203,Food Fish - Resident
3143558,2020,2077,Party/Charter Boat
3143599,2020,2078,Party/Charter Boat
3143815,2020,2083,Party/Charter Boat
3143875,2020,10768,Food Fish/Crustacea Dealer/Shipper
3144075,2020,281,Gill Net - Resident
3144146,2020,10773,Food Fish/Crustacea Dealer/Shipper
3144177,2020,2087,Party/Charter Boat
3144296,2020,2090,Party/Charter Boat
3144315,2020,5609,Food Fish - Resident
3144865,2020,10781,Food Fish/Crustacea Dealer/Shipper
3145022,2020,2572,Party/Charter Boat
3145240,2020,10785,Food Fish/Crustacea Dealer/Shipper
3145321,2020,1429,Whelk - Resident
3145321,2020,4036,Horseshoe Crab - Resident
3145321,2020,4036,Crab - Resident
3145321,2020,5560,Food Fish - Resident
3145577,2020,10821,Food Fish/Crustacea Dealer/Shipper
3145615,2020,2105,Party/Charter Boat
3145777,2020,10788,Food Fish/Crustacea Dealer/Shipper
3145817,2020,512,Gill Net - Resident
3146079,2020,2148,Food Fish - Resident
3146519,2020,10792,Food Fish/Crustacea Dealer/Shipper
3146819,2020,10794,Food Fish/Crustacea Dealer/Shipper
3146959,2020,2454,Party/Charter Boat
3146980,2020,989,Lobster - Resident
3146999,2020,10797,Food Fish/Crustacea Dealer/Shipper
3147041,2020,10800,Food Fish/Crustacea Dealer/Shipper
3147186,2020,201465,Food Fish Landing
3147319,2020,10803,Food Fish/Crustacea Dealer/Shipper
3147381,2020,4032,Horseshoe Crab - Resident
3147381,2020,4032,Crab - Resident
3147381,2020,5558,Food Fish - Resident
3147401,2020,10805,Food Fish/Crustacea Dealer/Shipper
3147421,2020,5559,Food Fish - Resident
3147599,2020,10810,Food Fish/Crustacea Dealer/Shipper
3147801,2020,10814,Food Fish/Crustacea Dealer/Shipper
3148102,2020,10820,Food Fish/Crustacea Dealer/Shipper
3148259,2020,421,Scoop Dip Scap up to 10 ft sq
3148519,2020,314,Gill Net - Resident
3148524,2020,2123,Party/Charter Boat
3148649,2020,1970,Lobster - Resident
3148649,2020,835,Food Fish - Resident
3148659,2020,11215,Food Fish/Crustacea Dealer/Shipper
3148659,2020,5569,Food Fish - Resident
3148679,2020,1276,Marine Bait
3148679,2020,37,Horseshoe Crab - Resident
3148679,2020,4083,Horseshoe Crab - Resident
3148679,2020,4083,Crab - Resident
3148800,2020,1177,Marine Bait
3148866,2020,2138,Party/Charter Boat
3148874,2020,2139,Party/Charter Boat
3148954,2020,2149,Party/Charter Boat
3149019,2020,815,Food Fish - Resident
3149027,2020,2156,Party/Charter Boat
3149247,2020,1079,Lobster Landing
3149247,2020,3846,Horseshoe Crab - Resident
3149247,2020,3846,Crab - Resident
3149247,2020,5603,Food Fish - Resident
3149249,2020,10842,Food Fish/Crustacea Dealer/Shipper
3149269,2020,659,Food Fish - Resident
3149412,2020,10846,Food Fish/Crustacea Dealer/Shipper
3149426,2020,10847,Food Fish/Crustacea Dealer/Shipper
3149545,2020,10853,Food Fish/Crustacea Dealer/Shipper
3149705,2020,10856,Food Fish/Crustacea Dealer/Shipper
3149707,2020,2181,Party/Charter Boat
3149748,2020,5544,Food Fish - Resident
3149807,2020,10858,Food Fish/Crustacea Dealer/Shipper
3150032,2020,210,Food Fish - Resident
3150032,2020,2452,Party/Charter Boat
3150166,2020,2185,Party/Charter Boat
3150186,2020,401,Food Fish - Resident
